time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1772277900,10000.0,10000.0,,0.0,,,
1772278200,10000.0,10000.0,,0.0,,,
1772278500,10000.0,10000.0,,0.0,,,
1772278800,10000.0,10000.0,,0.0,,,
1772279100,10000.0,10000.0,,0.0,,,
1772279400,10000.0,10000.0,,0.0,,,
1772279700,10000.0,10000.0,,0.0,,,
1772280000,10000.0,10000.0,,0.0,,,
1772280300,10000.0,10000.0,,0.0,,,
1772280600,10000.0,10000.0,,0.0,,,
1772280900,10000.0,10000.0,,0.0,,,
1772281200,10000.0,10000.0,,0.0,,,
1772281500,10000.0,10000.0,,0.0,,,
1772281800,10000.0,10000.0,,0.0,,,
1772282100,10000.0,10000.0,,0.0,,,
1772282400,10000.0,10000.0,,0.0,,,
1772282700,10000.0,10000.0,,0.0,,,
1772283000,10000.0,10000.0,,0.0,,,
1772283300,10000.0,10000.0,,0.0,,,
1772283600,9999.3486,10000.0,BUY,0.2,5579.418,5569.418,5597.418
1772283900,9999.0994,10000.0,BUY,0.2,5579.418,5569.418,5597.418
1772284200,10000.5002,10000.0,BUY,0.2,5579.418,5569.418,5597.418
1772284500,10001.0052,10001.0052,,0.0,,,
1772284800,10000.3866,10001.0052,BUY,0.2,5588.216,5578.216,5606.216
1772285100,10002.177,10002.177,,0.0,,,
1772285400,10002.4184,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772285700,10001.7498,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772286000,10001.071,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772286300,10001.3602,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772286600,10001.0428,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772286900,10002.051599999999,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772287200,10001.362,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772287500,10000.673999999999,10002.177,BUY,0.2,5596.489,5586.489,5614.489
1772287800,10000.177,10000.177,,0.0,,,
1772288100,10000.177,10000.177,,0.0,,,
1772288400,10000.177,10000.177,,0.0,,,
1772288700,10000.177,10000.177,,0.0,,,
1772289000,10000.177,10000.177,,0.0,,,
1772289300,10000.177,10000.177,,0.0,,,
1772289600,10000.177,10000.177,,0.0,,,
1772289900,10000.177,10000.177,,0.0,,,
1772290200,10000.177,10000.177,,0.0,,,
1772290500,10000.177,10000.177,,0.0,,,
1772290800,10000.177,10000.177,,0.0,,,
1772291100,10000.177,10000.177,,0.0,,,
1772291400,10000.177,10000.177,,0.0,,,
1772291700,10000.177,10000.177,,0.0,,,
1772292000,9999.5176,10000.177,BUY,0.2,5577.525,5567.525,5595.525
1772292300,10000.4916,10000.177,BUY,0.2,5577.525,5567.525,5595.525
1772292600,10000.645,10000.645,,0.0,,,
1772292900,10000.645,10000.645,,0.0,,,
1772293200,10000.645,10000.645,,0.0,,,
1772293500,10000.645,10000.645,,0.0,,,
1772293800,10000.645,10000.645,,0.0,,,
1772294100,10000.645,10000.645,,0.0,,,
1772294400,10000.645,10000.645,,0.0,,,
1772294700,10000.645,10000.645,,0.0,,,
1772295000,10000.645,10000.645,,0.0,,,
